ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT
32402659;0324966             ;0;1;1;20140812;1
32402660;0211676             ;0;1;1;20140812;1
32402661;0321434             ;0;2;2;20140812;2
32402662;0210783A            ;0;1;1;20140812;1
32402663;04329361            ;0;1;1;20140812;1
32402664;shop_113636         ;1;1;2;20140812;2
32402665;0441642             ;0;1;1;20140812;1
32402666;0447811A            ;0;1;1;20140812;1
32402667;01A5852             ;0;1;1;20140812;1
32402668;0440714             ;0;1;1;20140812;1
32402669;0449399A            ;1;1;2;20140812;2
32402670;01AA608B            ;0;2;2;20140812;2
32402671;0325504B            ;0;1;1;20140812;1
32402672;0437408A            ;0;1;1;20140812;1
32402673;01A1083A            ;0;1;1;20140812;1
32402674;0210205             ;0;2;2;20140812;2
32402675;0434559             ;0;2;2;20140812;2
32402676;01A2563B            ;0;1;1;20140812;1
32402677;0210334B            ;1;1;2;20140812;2
32402678;01A3300A            ;0;2;2;20140812;2
32402679;0328763             ;1;2;3;20140812;3
32402680;Y2-0714A            ;0;2;2;20140812;2
32402681;shop_117886         ;0;1;1;20140812;1
32402682;shop_119663         ;0;1;1;20140812;1
32402683;03231662            ;6;1;7;20140812;7
32402684;01A3299             ;0;2;2;20140812;2
32402685;0443999             ;2;4;6;20140812;6
32402686;0322833             ;1;1;2;20140812;2
32402687;0213340             ;0;13;13;20140812;9
32402688;0216114             ;1;3;4;20140812;4
32402689;0321360B            ;0;1;1;20140812;1
32402690;0210578B            ;0;2;2;20140812;2
32402691;0218337             ;0;7;7;20140812;7
32402692;Y4-0089A            ;0;1;1;20140812;1
32402693;01A62261            ;6;4;10;20140812;10
32402694;0216482             ;0;2;2;20140812;2
32402695;0569212             ;1;3;4;20140812;4
32402696;Y2-0602A            ;1;6;7;20140812;7
32402697;shop_125455         ;1;1;2;20140812;2
32402698;01A48541            ;1;2;3;20140812;3
32402699;01A50131            ;0;2;2;20140812;2
32402700;0211912             ;1;4;5;20140812;3
32402701;shop_99486          ;0;1;1;20140812;1
32402702;0445614B            ;1;1;2;20140812;2
32402703;01A7481             ;8;3;11;20140812;1
32402704;0219780             ;0;2;2;20140812;2
32402705;01F3-158            ;2;1;3;20140812;3
32402706;0321296             ;0;3;3;20140812;2
32402707;01A72902            ;0;3;3;20140812;2
32402708;0327186             ;2;1;3;20140812;3
32402709;0213476             ;1;2;3;20140812;3
32402710;0216215             ;2;2;4;20140812;4
32402711;0218622B            ;2;2;4;20140812;3
32402712;0210010B            ;0;1;1;20140812;1
32402713;0561259             ;0;1;1;20140812;1
32402714;0568683             ;0;1;1;20140812;1
32402715;0322404             ;0;1;1;20140812;1
32402716;01A2934A            ;0;1;1;20140812;1
32402717;0431026             ;1;2;3;20140812;1
32402718;0328684             ;1;2;3;20140812;2
32402719;0438714A            ;0;1;1;20140812;1
32402720;02160531            ;0;1;1;20140812;1
32402721;01A1855             ;1;2;3;20140812;3
32402722;0444162             ;0;3;3;20140812;3
32402723;01A7415             ;1;1;2;20140812;1
32402724;01AAA17A            ;0;3;3;20140812;3
32402725;0441710             ;12;6;18;20140812;5
32402726;01AA183             ;0;1;1;20140812;1
32402727;0436212A            ;2;2;4;20140812;4
32402728;0449151             ;0;1;1;20140812;1
32402729;01A3378A            ;0;1;1;20140812;1
32402730;0218466             ;0;3;3;20140812;3
32402731;Y1-0110             ;1;3;4;20140812;2
32402732;01A3379A            ;0;1;1;20140812;1
32402733;0328354             ;1;3;4;20140812;4
32402734;0326830             ;0;1;1;20140812;1
32402735;01AA409B            ;0;1;1;20140812;1
32402736;01A1886             ;3;1;4;20140812;3
32402737;0570355             ;0;2;2;20140812;2
32402738;0438970A            ;0;2;2;20140812;2
32402739;shop_124880         ;0;1;1;20140812;1
32402740;0214254A            ;0;4;4;20140812;1
32402741;0322034             ;1;1;2;20140812;2
32402742;01A7241             ;0;2;2;20140812;2
32402743;01A7090             ;0;2;2;20140812;2
32402744;0218340             ;0;3;3;20140812;3
32402745;01A6313             ;0;1;1;20140812;1
32402746;01A3323B            ;0;1;1;20140812;1
32402747;0328094             ;1;1;2;20140812;2
32402748;0446215B            ;2;5;7;20140812;5
32402749;0562137             ;2;1;3;20140812;3
32402750;0322296             ;0;4;4;20140812;4
32402751;0438150A1           ;0;3;3;20140812;3
32402752;Y5-0586             ;1;1;2;20140812;2
32402753;01A4893A            ;0;3;3;20140812;3
32402754;Y4-0784A            ;0;1;1;20140812;1
32402755;01A1472B            ;0;1;1;20140812;1
32402756;0328150             ;2;1;3;20140812;2
32402757;0437739B            ;0;1;1;20140812;1
32402758;shop_111916         ;0;2;2;20140812;2
32402759;01A1038             ;1;2;3;20140812;3
32402760;0562971             ;0;1;1;20140812;1
32402761;shop_111457         ;0;1;1;20140812;1
32402762;0323988B            ;0;2;2;20140812;1
32402763;0211339             ;1;2;3;20140812;3
32402764;01A2921B1           ;0;1;1;20140812;1
32402765;0321630             ;0;1;1;20140812;1
32402766;0451368             ;0;9;9;20140812;7
32402767;02134801            ;0;1;1;20140812;1
32402768;0213406             ;0;1;1;20140812;1
32402769;0565378             ;0;3;3;20140812;3
32402770;0432908             ;0;1;1;20140812;1
32402771;Y3-0013A            ;0;2;2;20140812;2
32402772;0437951B            ;0;2;2;20140812;2
32402773;0212518             ;0;1;1;20140812;1
32402774;0324280A            ;0;1;1;20140812;1
32402775;Y3-0206             ;0;2;2;20140812;2
32402776;Y3-0540A            ;0;1;1;20140812;1
32402777;0213504             ;0;2;2;20140812;2
32402778;shop_127816         ;0;1;1;20140812;1
32402779;Y4-0285             ;1;1;2;20140812;2
32402780;01A5193             ;0;1;1;20140812;1
32402781;01A7165             ;1;1;2;20140812;2
32402782;0440856             ;0;1;1;20140812;1
32402783;Y4-0757A            ;1;1;2;20140812;2
32402784;0216949             ;0;1;1;20140812;1
32402785;0322272             ;1;1;2;20140812;2
32402786;shop_98691          ;2;1;3;20140812;2
32402787;0564347             ;0;3;3;20140812;3
32402788;0443109             ;3;5;8;20140812;5
32402789;01A6095A            ;0;3;3;20140812;2
32402790;shop_104812         ;2;3;5;20140812;5
32402791;0434410B5           ;0;2;2;20140812;2
32402792;0448013             ;0;2;2;20140812;2
32402793;0324252A            ;0;1;1;20140812;1
32402794;0324751             ;2;1;3;20140812;3
32402795;0215709             ;0;1;1;20140812;1
32402796;01A1935             ;1;1;2;20140812;2
32402797;01A43072            ;0;1;1;20140812;1
32402798;0328302             ;1;1;2;20140812;2
32402799;0326738             ;0;1;1;20140812;1
32402800;0219037-33          ;2;1;3;20140812;3
32402801;Y4-0588A            ;0;1;1;20140812;1
32402802;0324194B            ;0;1;1;20140812;1
32402803;0439224A            ;0;1;1;20140812;1
32402804;01A5818             ;0;3;3;20140812;2
32402805;0328528             ;1;1;2;20140812;2
32402806;0434254             ;0;1;1;20140812;1
32402807;0442327             ;0;2;2;20140812;2
32402808;0437636A            ;0;1;1;20140812;1
32402809;01A1351             ;1;1;2;20140812;2
32402810;0216795A            ;0;1;1;20140812;1
32402811;01A7138A            ;0;1;1;20140812;1
32402812;03L3-3031B          ;1;1;2;20140812;2
32402813;0322371             ;0;3;3;20140812;3
32402814;0215039             ;0;1;1;20140812;1
32402815;shop_110566         ;0;3;3;20140812;3
32402816;01A59501            ;0;1;1;20140812;1
32402817;shop_110883         ;1;1;2;20140812;2
32402818;0441238B            ;0;1;1;20140812;1
32402819;01AA981             ;1;2;3;20140812;2
32402820;02169871            ;0;1;1;20140812;1
32402821;0435117A            ;1;1;2;20140812;2
32402822;01A82482            ;1;1;2;20140812;2
32402823;0218297A            ;0;1;1;20140812;1
32402824;0321735             ;1;1;2;20140812;2
32402825;shop_97552          ;0;2;2;20140812;1
32402826;01A7356             ;0;3;3;20140812;3
32402827;0213891B            ;0;1;1;20140812;1
32402828;0439256A            ;0;1;1;20140812;1
32402829;0218733             ;0;3;3;20140812;3
32402830;0438360             ;1;1;2;20140812;2
32402831;0328726             ;1;1;2;20140812;2
32402832;0321873             ;1;1;2;20140812;2
32402833;shop_119123         ;1;1;2;20140812;2
32402834;0448931             ;0;1;1;20140812;1
32402835;01AAA57             ;0;2;2;20140812;2
32402836;shop_110909         ;1;1;2;20140812;2
32402837;0218267             ;1;5;6;20140812;5
32402838;shop_117560         ;0;1;1;20140812;1
32402839;01A6281B            ;0;1;1;20140812;1
32402840;shop_120880         ;1;2;3;20140812;2
32402841;01A6916B            ;0;1;1;20140812;1
32402842;01A5526             ;1;2;3;20140812;3
32402843;0432522B            ;0;1;1;20140812;1
32402844;01A89152            ;0;1;1;20140812;1
32402845;0321693A            ;3;2;5;20140812;5
32402846;0212714             ;0;1;1;20140812;1
32402847;0446336             ;0;1;1;20140812;1
32402848;01A5865B            ;0;1;1;20140812;1
32402849;0214320B            ;0;1;1;20140812;1
32402850;01A7376             ;1;2;3;20140812;3
32402851;0437797B            ;0;1;1;20140812;1
32402852;Y3-0093             ;0;1;1;20140812;1
32402853;shop_98806          ;0;1;1;20140812;1
32402854;01A5639A            ;0;1;1;20140812;1
32402855;0323970A            ;0;2;2;20140812;2
32402856;0447293             ;0;1;1;20140812;1
32402857;shop_112543         ;0;1;1;20140812;1
32402858;0438090B            ;1;2;3;20140812;2
32402859;04344705            ;0;1;1;20140812;1
32402860;0448271A            ;0;2;2;20140812;2
32402861;01A2793             ;0;1;1;20140812;1
32402862;01A2796A            ;0;1;1;20140812;1
32402863;Y4-0005A            ;1;2;3;20140812;2
32402864;shop_112235         ;0;4;4;20140812;3
32402865;01A6735             ;0;3;3;20140812;3
32402866;0327813             ;0;1;1;20140812;1
32402867;shop_96630          ;0;3;3;20140812;2
32402868;0438782B            ;0;2;2;20140812;2
32402869;0440997B            ;0;2;2;20140812;2
32402870;0435167B            ;0;1;1;20140812;1
32402871;01A27571            ;3;1;4;20140812;4
32402872;shop_108241         ;1;2;3;20140812;3
32402873;0322262B            ;0;2;2;20140812;2
32402874;0215708             ;0;1;1;20140812;1
32402875;0219364             ;1;2;3;20140812;3
32402876;01A6752B            ;0;1;1;20140812;1
32402877;0441212             ;0;2;2;20140812;2
32402878;01A2755A            ;2;3;5;20140812;3
32402879;0215269B            ;0;1;1;20140812;1
32402880;Y1-0210A            ;1;3;4;20140812;4
32402881;0448748A            ;0;1;1;20140812;1
32402882;0562252             ;0;1;1;20140812;1
32402883;01A3300B            ;0;1;1;20140812;1
32402884;01A7978B            ;1;1;2;20140812;2
32402885;0442675A            ;1;1;2;20140812;2
32402886;Y5-0094A            ;0;1;1;20140812;1
32402887;01A4364A            ;0;1;1;20140812;1
32402888;01A6641             ;1;2;3;20140812;3
32402889;0321525             ;0;1;1;20140812;1
32402890;0434262             ;0;2;2;20140812;2
32402891;0435424             ;0;1;1;20140812;1
32402892;shop_109753         ;0;1;1;20140812;1
32402893;01A6503             ;0;1;1;20140812;1
32402894;04311161            ;0;1;1;20140812;1
32402895;0325124B            ;1;1;2;20140812;2
32402896;0328267             ;0;1;1;20140812;1
32402897;shop_117301         ;2;1;3;20140812;2
32402898;Y1-0147A            ;0;1;1;20140812;1
32402899;shop_99414          ;0;1;1;20140812;1
32402900;01A9308             ;0;1;1;20140812;1
32402901;01A2534B            ;1;2;3;20140812;2
32402902;Y4-0440B            ;0;1;1;20140812;1
32402903;0219025             ;0;2;2;20140812;2
32402904;Y3-0224A            ;0;1;1;20140812;1
32402905;01A2639A            ;1;1;2;20140812;2
32402906;01A1707             ;1;2;3;20140812;1
32402907;0326311             ;3;1;4;20140812;2
32402908;0321606             ;0;2;2;20140812;1
32402909;0322244A            ;1;1;2;20140812;2
32402910;Y3-0444A            ;0;1;1;20140812;1
32402911;0324186             ;0;2;2;20140812;2
32402912;JJ3A12              ;2;3;5;20140812;4
32402913;0441388B            ;0;2;2;20140812;1
32402914;01A5346B            ;1;1;2;20140812;2
32402915;01F1-023            ;0;2;2;20140812;1
32402916;0447309             ;1;1;2;20140812;2
32402917;01A3737A            ;0;1;1;20140812;1
32402918;0448372             ;0;2;2;20140812;2
32402919;0431733             ;0;2;2;20140812;2
32402920;01A1335B            ;1;2;3;20140812;3
32402921;0215840             ;1;1;2;20140812;2
32402922;01A5922             ;0;1;1;20140812;1
32402923;Y2-0990             ;0;1;1;20140812;1
32402924;0216096             ;1;2;3;20140812;3
32402925;01A4966B            ;0;1;1;20140812;1
32402926;01F2-068            ;1;1;2;20140812;2
32402927;0326571             ;1;1;2;20140812;2
32402928;shop_100281         ;1;1;2;20140812;2
32402929;0443823             ;1;2;3;20140812;3
32402930;Y5-1044             ;0;1;1;20140812;1
32402931;0218632             ;2;1;3;20140812;3
32402932;01A3548B            ;0;2;2;20140812;2
32402933;01A40411            ;1;1;2;20140812;1
32402934;0445345             ;0;1;1;20140812;1
32402935;0321675             ;0;1;1;20140812;1
32402936;01A1974             ;0;1;1;20140812;1
32402937;shop_107569         ;0;2;2;20140812;2
32402938;Y2-0604B            ;0;1;1;20140812;1
32402939;shop_121067         ;1;1;2;20140812;2
32402940;0212446             ;0;1;1;20140812;1
32402941;Y2-0662             ;0;1;1;20140812;1
32402942;0219190             ;0;1;1;20140812;1
32402943;0212707             ;0;3;3;20140812;2
32402944;0568313             ;0;1;1;20140812;1
32402945;0326011             ;1;5;6;20140812;6
32402946;0219037-35          ;0;2;2;20140812;2
32402947;0210054A1           ;0;1;1;20140812;1
32402948;0213075A            ;0;2;2;20140812;2
32402949;01A5061B            ;0;1;1;20140812;1
32402950;01A2494B            ;1;1;2;20140812;2
32402951;shop_99699          ;0;1;1;20140812;1
32402952;0448159A            ;0;2;2;20140812;2
32402953;shop_104142         ;0;1;1;20140812;1
32402954;Y4-0034A            ;0;2;2;20140812;2
32402955;Y4-0115A            ;2;4;6;20140812;4
32402956;0327179             ;0;1;1;20140812;1
32402957;0219575             ;0;4;4;20140812;2
32402958;01A7978A            ;0;2;2;20140812;2
32402959;0437188             ;1;1;2;20140812;2
32402960;0328381             ;0;7;7;20140812;2
32402961;0325430             ;1;1;2;20140812;2
32402962;01A15621            ;1;1;2;20140812;2
32402963;Y2-0093A            ;0;3;3;20140812;3
32402964;0214965             ;0;1;1;20140812;1
32402965;0324338B            ;0;1;1;20140812;1
32402966;Y5-0192             ;0;1;1;20140812;1
32402967;0437944B            ;0;1;1;20140812;1
32402968;0435421             ;1;1;2;20140812;2
32402969;Y2-0652A            ;0;1;1;20140812;1
32402970;0211516             ;1;1;2;20140812;2
32402971;shop_99363          ;0;3;3;20140812;3
32402972;01A5761B            ;0;1;1;20140812;1
32402973;01A2410B            ;0;1;1;20140812;1
32402974;0439329             ;0;1;1;20140812;1
32402975;0212395             ;0;1;1;20140812;1
32402976;shop_104646         ;0;1;1;20140812;1
32402977;0326375             ;1;1;2;20140812;2
32402978;shop_110766         ;2;2;4;20140812;4
32402979;0210453             ;0;1;1;20140812;1
32402980;company_104590      ;0;1;1;20140812;1
32402981;0218086A            ;0;1;1;20140812;1
32402982;shop_106062         ;0;1;1;20140812;1
32402983;0215525             ;0;3;3;20140812;2
32402984;shop_100023         ;0;2;2;20140812;2
32402985;0448238             ;0;1;1;20140812;1
32402986;shop_112295         ;0;1;1;20140812;1
32402987;0325892             ;1;3;4;20140812;1
32402988;shop_107602         ;1;2;3;20140812;2
32402989;0213116             ;0;1;1;20140812;1
32402990;0441671             ;0;1;1;20140812;1
32402991;0432735             ;0;1;1;20140812;1
32402992;Y3-0694A            ;0;1;1;20140812;1
32402993;02171501            ;0;2;2;20140812;2
32402994;01A2298             ;0;1;1;20140812;1
32402995;0219110             ;0;2;2;20140812;2
32402996;0446958A            ;0;2;2;20140812;2
32402997;Y3-0625A            ;0;1;1;20140812;1
32402998;Y1-0565A            ;0;2;2;20140812;2
32402999;01A3958             ;0;2;2;20140812;2
32403000;Y3-0654A            ;0;2;2;20140812;2
32403001;0447321             ;0;3;3;20140812;3
32403002;0561216             ;0;1;1;20140812;1
32403003;0448496             ;1;3;4;20140812;4
32403004;0218351             ;0;1;1;20140812;1
32403005;01A2727A            ;0;3;3;20140812;3
32403006;0216497             ;0;1;1;20140812;1
32403007;Y4-0443A            ;0;1;1;20140812;1
32403008;01A7261B            ;0;1;1;20140812;1
32403009;shop_96453          ;0;2;2;20140812;2
32403010;01A2056             ;0;2;2;20140812;2
32403011;01A2616A            ;1;1;2;20140812;2
32403012;0446182B            ;0;1;1;20140812;1
32403013;01A7541B            ;0;1;1;20140812;1
32403014;0569244B            ;0;1;1;20140812;1
32403015;0321523A            ;0;1;1;20140812;1
32403016;01A16071            ;1;1;2;20140812;2
32403017;0564570             ;0;1;1;20140812;1
32403018;01A3223             ;0;1;1;20140812;1
32403019;0437965A            ;0;1;1;20140812;1
32403020;01A36821            ;0;1;1;20140812;1
32403021;01A3095A2           ;0;1;1;20140812;1
32403022;0447176             ;0;1;1;20140812;1
32403023;01A8593             ;0;1;1;20140812;1
32403024;0448817             ;0;2;2;20140812;2
32403025;0440811             ;0;1;1;20140812;1
32403026;0569136A            ;0;1;1;20140812;1
32403027;0441762             ;1;1;2;20140812;2
32403028;0218005B            ;3;3;6;20140812;1
32403029;01A36081            ;0;1;1;20140812;1
32403030;0451323             ;0;1;1;20140812;1
32403031;0216553B            ;0;1;1;20140812;1
32403032;0323537             ;0;1;1;20140812;1
32403033;0325611             ;0;1;1;20140812;1
32403034;0217996             ;0;1;1;20140812;1
32403035;0565387             ;0;1;1;20140812;1
32403036;01A7531A            ;1;2;3;20140812;3
32403037;01AA333A            ;0;1;1;20140812;1
32403038;0210536A            ;0;2;2;20140812;2
32403039;0434433             ;1;1;2;20140812;2
32403040;0326018             ;1;2;3;20140812;3
32403041;0325580             ;0;1;1;20140812;1
32403042;01A2440A            ;0;2;2;20140812;2
32403043;04343314            ;0;1;1;20140812;1
32403044;0321619             ;0;1;1;20140812;1
32403045;Y3-1030             ;0;1;1;20140812;1
32403046;01A8249             ;0;1;1;20140812;1
32403047;0435954             ;0;3;3;20140812;3
32403048;0430995B            ;0;1;1;20140812;1
32403049;Y3-0033A            ;0;2;2;20140812;2
32403050;0215067             ;0;1;1;20140812;1
32403051;0439352             ;0;1;1;20140812;1
32403052;01A2806A            ;1;1;2;20140812;2
32403053;0447341             ;0;1;1;20140812;1
32403054;01A4822B            ;0;1;1;20140812;1
32403055;01A6505B            ;0;1;1;20140812;1
32403056;0215356             ;1;2;3;20140812;2
32403057;shop_126215         ;0;1;1;20140812;1
32403058;01A8341             ;0;1;1;20140812;1
32403059;0215401A            ;0;1;1;20140812;1
32403060;0324161             ;0;1;1;20140812;1
32403061;0215377             ;0;2;2;20140812;2
32403062;0442818             ;0;1;1;20140812;1
32403063;shop_103462         ;0;1;1;20140812;1
32403064;01A1118             ;0;1;1;20140812;1
32403065;0215413A            ;0;1;1;20140812;1
32403066;0443566             ;0;2;2;20140812;2
32403067;0211181             ;0;1;1;20140812;1
32403068;04473421            ;1;1;2;20140812;2
32403069;shop_111241         ;0;1;1;20140812;1
32403070;0213044             ;0;1;1;20140812;1
32403071;01A3418             ;0;1;1;20140812;1
32403072;0443573A            ;0;1;1;20140812;1
32403073;shop_113557         ;0;1;1;20140812;1
32403074;Y1-0353A            ;3;2;5;20140812;5
32403075;Y1-0649A4           ;0;2;2;20140812;2
32403076;Y4-0601A            ;0;1;1;20140812;1
32403077;Y5-0334A            ;0;1;1;20140812;1
32403078;0450670             ;0;1;1;20140812;1
32403079;01A1742B            ;0;1;1;20140812;1
32403080;0327522             ;1;1;2;20140812;2
32403081;0435247A            ;0;1;1;20140812;1
32403082;01A42092            ;0;2;2;20140812;2
32403083;0214998A            ;0;1;1;20140812;1
32403084;0565752             ;0;1;1;20140812;1
32403085;01AA381A            ;0;1;1;20140812;1
32403086;0445191             ;2;2;4;20140812;2
32403087;0321527             ;0;1;1;20140812;1
32403088;01A4891B            ;2;2;4;20140812;4
32403089;01A72192            ;1;1;2;20140812;2
32403090;0211809A            ;0;1;1;20140812;1
32403091;0321156A            ;0;1;1;20140812;1
32403092;0443899             ;0;1;1;20140812;1
32403093;0219454             ;1;2;3;20140812;2
32403094;01A7888             ;1;1;2;20140812;2
32403095;0440490A            ;0;1;1;20140812;1
32403096;shop_120141         ;0;2;2;20140812;1
32403097;0445590             ;0;1;1;20140812;1
32403098;04490131            ;0;1;1;20140812;1
32403099;shop_102220         ;0;1;1;20140812;1
32403100;Y5-0408B            ;0;1;1;20140812;1
32403101;01A1543A            ;1;1;2;20140812;2
32403102;0215676B            ;1;1;2;20140812;2
32403103;0430237             ;0;1;1;20140812;1
32403104;Y4-0340A            ;0;1;1;20140812;1
32403105;01A5692             ;0;1;1;20140812;1
32403106;01A4530B            ;1;2;3;20140812;3
32403107;Y4-0543A            ;0;1;1;20140812;1
32403108;0438768A            ;1;2;3;20140812;3
32403109;0434979             ;0;1;1;20140812;1
32403110;0324277A            ;1;1;2;20140812;2
32403111;0434734B            ;0;1;1;20140812;1
32403112;0437829B            ;1;1;2;20140812;2
32403113;shop_124826         ;0;2;2;20140812;2
32403114;0430113             ;0;1;1;20140812;1
32403115;0217643             ;0;1;1;20140812;1
32403116;0325861             ;0;2;2;20140812;1
32403117;0450849             ;0;1;1;20140812;1
32403118;01A6844             ;1;1;2;20140812;2
32403119;0450114             ;1;1;2;20140812;2
32403120;01A1260             ;0;1;1;20140812;1
32403121;0217276             ;0;1;1;20140812;1
32403122;0562193             ;0;2;2;20140812;2
32403123;0446820A            ;0;2;2;20140812;2
32403124;shop_102336         ;0;1;1;20140812;1
32403125;02136261            ;0;1;1;20140812;1
32403126;0325037B            ;0;1;1;20140812;1
32403127;shop_98793          ;1;2;3;20140812;3
32403128;0212242B            ;0;1;1;20140812;1
32403129;01A8207             ;1;1;2;20140812;2
32403130;0447977A            ;0;1;1;20140812;1
32403131;01AA215B            ;0;1;1;20140812;1
32403132;01A8539             ;0;1;1;20140812;1
32403133;Y5-0279A            ;0;1;1;20140812;1
32403134;0438244B            ;0;1;1;20140812;1
32403135;01A5114             ;0;1;1;20140812;1
32403136;0210863             ;1;3;4;20140812;4
32403137;01A1604B            ;2;2;4;20140812;3
32403138;0432641             ;0;3;3;20140812;3
32403139;shop_104677         ;1;1;2;20140812;2
32403140;0437270             ;1;1;2;20140812;1
32403141;0327420A            ;1;1;2;20140812;2
32403142;01A7833             ;0;1;1;20140812;1
32403143;0436275             ;0;1;1;20140812;1
32403144;0438924A            ;1;1;2;20140812;2
32403145;0215641             ;0;1;1;20140812;1
32403146;0216988             ;1;1;2;20140812;2
32403147;0436152             ;0;1;1;20140812;1
32403148;0569204B            ;0;1;1;20140812;1
32403149;0438699B            ;0;2;2;20140812;1
32403150;shop_103776         ;2;2;4;20140812;4
32403151;01A5657A            ;1;2;3;20140812;3
32403152;0436447             ;0;2;2;20140812;2
32403153;0446205             ;0;1;1;20140812;1
32403154;0432789B            ;0;1;1;20140812;1
32403155;01A8784A            ;0;1;1;20140812;1
32403156;0216586             ;0;1;1;20140812;1
32403157;0324826A            ;1;3;4;20140812;3
32403158;0321268A            ;0;1;1;20140812;1
32403159;0210583             ;0;1;1;20140812;1
32403160;0329386             ;1;1;2;20140812;2
32403161;0219037-23          ;1;1;2;20140812;2
32403162;0443874A            ;0;1;1;20140812;1
32403163;0327300             ;0;1;1;20140812;1
32403164;03L2-2018           ;2;1;3;20140812;3
32403165;02160861            ;0;1;1;20140812;1
32403166;01A8430             ;1;1;2;20140812;2
32403167;01A33141            ;0;1;1;20140812;1
32403168;0440518             ;0;2;2;20140812;2
32403169;0450409             ;0;2;2;20140812;2
32403170;Y4-0137A            ;0;8;8;20140812;5
32403171;0218031             ;0;1;1;20140812;1
32403172;0211168A            ;0;1;1;20140812;1
32403173;0215275B            ;0;2;2;20140812;2
32403174;01A2625A            ;0;1;1;20140812;1
32403175;0218420             ;0;1;1;20140812;1
32403176;0562928             ;0;2;2;20140812;1
32403177;031029              ;0;1;1;20140812;1
32403178;0212752             ;0;4;4;20140812;2
32403179;0211307B            ;0;1;1;20140812;1
32403180;01A1111             ;0;1;1;20140812;1
32403181;0444239             ;1;1;2;20140812;1
32403182;0430550             ;0;1;1;20140812;1
32403183;05613941            ;0;3;3;20140812;3
32403184;0439196             ;0;1;1;20140812;1
32403185;shop_120324         ;1;2;3;20140812;3
32403186;0219269             ;1;1;2;20140812;2
32403187;0210472A            ;0;1;1;20140812;1
32403188;0211684             ;1;1;2;20140812;2
32403189;0431624             ;0;1;1;20140812;1
32403190;Y1-0227A            ;0;1;1;20140812;1
32403191;0444053             ;1;1;2;20140812;2
32403192;0328075A            ;1;1;2;20140812;2
32403193;0448301A            ;1;1;2;20140812;2
32403194;01A5490B            ;2;1;3;20140812;3
32403195;0448171             ;0;1;1;20140812;1
32403196;01A4280A            ;1;1;2;20140812;2
32403197;Y4-0092             ;0;1;1;20140812;1
32403198;02151221            ;0;1;1;20140812;1
32403199;05628501            ;0;2;2;20140812;2
32403200;0210774             ;0;1;1;20140812;1
32403201;0210328A            ;0;1;1;20140812;1
32403202;Y5-0785A            ;0;3;3;20140812;3
32403203;0321197A            ;0;1;1;20140812;1
32403204;01A1143A            ;1;1;2;20140812;2
32403205;0435479             ;0;1;1;20140812;1
32403206;0435840             ;1;2;3;20140812;3
32403207;04AA459             ;2;1;3;20140812;3
32403208;0434522             ;0;1;1;20140812;1
32403209;0212677             ;0;1;1;20140812;1
32403210;0215819             ;1;1;2;20140812;2
32403211;0431613             ;1;1;2;20140812;2
32403212;shop_100714         ;0;1;1;20140812;1
32403213;0438010             ;0;1;1;20140812;1
32403214;01AA2701            ;0;2;2;20140812;2
32403215;01A30942            ;0;1;1;20140812;1
32403216;01A42062            ;0;1;1;20140812;1
32403217;shop_104210         ;0;1;1;20140812;1
32403218;0432138             ;0;1;1;20140812;1
32403219;01A3174             ;0;1;1;20140812;1
32403220;0445819A            ;0;1;1;20140812;1
32403221;0215251B            ;0;2;2;20140812;2
32403222;0216324B            ;2;1;3;20140812;3
32403223;Y5-0730A1           ;0;1;1;20140812;1
32403224;0436193B            ;0;2;2;20140812;2
32403225;0435381A            ;1;1;2;20140812;2
32403226;0438611A            ;1;1;2;20140812;2
32403227;0213204             ;0;1;1;20140812;1
32403228;shop_127583         ;0;1;1;20140812;1
32403229;0211619             ;0;1;1;20140812;1
32403230;0213209             ;0;1;1;20140812;1
32403231;0442503A            ;0;1;1;20140812;1
32403232;company_111070      ;0;1;1;20140812;1
32403233;0447940A            ;0;1;1;20140812;1
32403234;0211968             ;0;1;1;20140812;1
32403235;01A1316             ;0;2;2;20140812;2
32403236;shop_109879         ;0;1;1;20140812;1
32403237;01A1490             ;0;1;1;20140812;1
32403238;0437150             ;0;1;1;20140812;1
32403239;Y4-0850A            ;0;1;1;20140812;1
32403240;01AA9711            ;0;1;1;20140812;1
32403241;01AA589A            ;0;1;1;20140812;1
32403242;shop_116313         ;1;1;2;20140812;2
32403243;0215469             ;1;2;3;20140812;2
32403244;Y3-0066A            ;0;1;1;20140812;1
32403245;0444074A            ;0;1;1;20140812;1
32403246;0434338             ;0;1;1;20140812;1
32403247;01A6826             ;1;2;3;20140812;3
32403248;shop_99928          ;0;1;1;20140812;1
32403249;0213106             ;0;2;2;20140812;2
32403250;0329301             ;2;1;3;20140812;3
32403251;01A4766             ;0;1;1;20140812;1
32403252;Y5-0745A            ;0;1;1;20140812;1
32403253;Y1-0029B2           ;0;1;1;20140812;1
32403254;0446341B            ;0;1;1;20140812;1
32403255;01A7976             ;0;1;1;20140812;1
32403256;0437808             ;0;1;1;20140812;1
32403257;shop_122043         ;0;1;1;20140812;1
32403258;Y1-0524             ;0;1;1;20140812;1
32403259;shop_110928         ;0;1;1;20140812;1
32403260;0431577             ;1;1;2;20140812;2
32403261;0323825A            ;0;1;1;20140812;1
